Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brand Button Url (product.metafields.custom.brand_button_url),Brand Description (product.metafields.custom.brand_description),Brand Heading (product.metafields.custom.brand_heading),How to use (product.metafields.custom.how_to_use),Ingredients (product.metafields.custom.ingredients),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age restrictions (product.metafields.shopify.age-restrictions),Event type (product.metafields.shopify.event-type),Hair care finish (product.metafields.shopify.hair-care-finish),Hair care items included (product.metafields.shopify.hair-care-items-included),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Product form (product.metafields.shopify.product-form),Target gender (product.metafields.shopify.target-gender),Ticket type (product.metafields.shopify.ticket-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-doux-bond-shield-system,The Doux Bond & Shield System,"<p class=""MsoNormal""><span lang=""EN-US"">Repair. Reinforce. Protect.<br>Your curls deserve a system, not just products. The Doux Rewind Curl Retention Shampoo and Fast Forward Bond-Building Conditioner work in tandem to cleanse, rebuild, and shield curls against the toughest conditions.</span></p>
<h3><span lang=""EN-US"">Strength Meets Shield</span></h3>
<p class=""MsoListBulletCxSpFirst"" style=""margin-left: 18.0pt; mso-add-space: auto; text-indent: -18.0pt; mso-list: l0 level1 lfo1; tab-stops: list 18.0pt;""><!-- [if !supportLists]--><span lang=""EN-US"" style=""font-family: Symbol; mso-fareast-font-family: Symbol; mso-bidi-font-family: Symbol;""><span style=""mso-list: Ignore;"">·<span style=""font: 7.0pt 'Times New Roman';"">       </span></span></span><!--[endif]--><span lang=""EN-US"">Rewind the Damage – A curl retention shampoo that cleanses without stripping and primes curls for lasting shape.</span></p>
<p class=""MsoListBulletCxSpMiddle"" style=""margin-left: 18.0pt; mso-add-space: auto; text-indent: -18.0pt; mso-list: l0 level1 lfo1; tab-stops: list 18.0pt;""><!-- [if !supportLists]--><span lang=""EN-US"" style=""font-family: Symbol; mso-fareast-font-family: Symbol; mso-bidi-font-family: Symbol;""><span style=""mso-list: Ignore;"">·<span style=""font: 7.0pt 'Times New Roman';"">       </span></span></span><!--[endif]--><span lang=""EN-US"">Fast Forward to Protection – A bond-building conditioner that strengthens from within and creates a shield against heat and Middle East humidity.</span></p>
<p class=""MsoListBulletCxSpMiddle"" style=""margin-left: 18.0pt; mso-add-space: auto; text-indent: -18.0pt; mso-list: l0 level1 lfo1; tab-stops: list 18.0pt;""><!-- [if !supportLists]--><span lang=""EN-US"" style=""font-family: Symbol; mso-fareast-font-family: Symbol; mso-bidi-font-family: Symbol;""><span style=""mso-list: Ignore;"">·<span style=""font: 7.0pt 'Times New Roman';"">       </span></span></span><!--[endif]--><span lang=""EN-US"">Colour Care – Guards vibrancy and reduces breakage in colour-treated curls.</span></p>
<p class=""MsoListBulletCxSpMiddle"" style=""margin-left: 18.0pt; mso-add-space: auto; text-indent: -18.0pt; mso-list: l0 level1 lfo1; tab-stops: list 18.0pt;""><!-- [if !supportLists]--><span lang=""EN-US"" style=""font-family: Symbol; mso-fareast-font-family: Symbol; mso-bidi-font-family: Symbol;""><span style=""mso-list: Ignore;"">·<span style=""font: 7.0pt 'Times New Roman';"">       </span></span></span><!--[endif]--><span lang=""EN-US"">Porosity Perfected – Especially effective for medium to high porosity curls that crave strength and lasting defense.</span></p>
<p class=""MsoListBulletCxSpLast"" style=""margin-left: 18.0pt; mso-add-space: auto; text-indent: -18.0pt; mso-list: l0 level1 lfo1; tab-stops: list 18.0pt;""><!-- [if !supportLists]--><span lang=""EN-US"" style=""font-family: Symbol; mso-fareast-font-family: Symbol; mso-bidi-font-family: Symbol;""><span style=""mso-list: Ignore;"">·<span style=""font: 7.0pt 'Times New Roman';"">       </span></span></span><!--[endif]--><span lang=""EN-US"">Resilient Results – Shine, bounce, and definition—without compromise.</span></p>",The Doux,Uncategorized,Hair care,"CG Approved, CGM, CGM Approved, Chemically Treated Hair, Cleansing, Cleansing Shampoo, Colour Safe, Colour Treated Hair, Conditioner, Damaged Hair, Detangling Shampoo, Gentle Cleansing, Hair Strengthening, Healthy Scalp, High Porosity, High Porosity Essentials, Moisturizing Shampoo, Natural, Natural Hair, Rinse out Conditioner, Strengthening Conditioner, Strengthening Shampoo, Strengthening Treatment, Sulfate Free, The Doux",true,Title,Default Title,,,,,,,,,880.0,shopify,deny,manual,153.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/DOUXIMAGE_ac33b6b8-d585-4181-ac26-6a58f885705c.jpg?v=1756193769,1,The Doux Press Rewind and Fast Forward,false,,"Discover The Doux Bond & Shield System: The shield system repairs, reinforce & protects hair to cleanse, rebuild & strengthen curls in the Middle East Humidity",,,,,,,,,,,,,"The Doux is an award winning brand of super-fresh, texture focused solutions inspired by the life of a stylist and love for the culture. Merging old-school flava with new-school science. The Doux developed a range of simple, multi-functional formulas designed to put an end to the complicated regimens and conflicting information that are shattering your confidence.",The Doux,"1. Rewind – Apply shampoo to wet hair, massage, rinse thoroughly.<br>
<br>
2. Fast Forward – Follow with conditioner, leave 3–5 minutes, rinse.
Together, they form a bond-repair and climate-shield ritual—for curls that thrive no matter the heat, humidity, or damage.
","Press & Rewind Shampoo: Water (Aqua), SodiumC14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Quaternium-91, Glycerin, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Aloe Vera Callus Extract (Stem Cell), Aspergillus Ferment, Sodium Cocoyl Amino Acids, Phenethyl Alcohol, Fragrance, Cetrimonium Chloride, PEG-6 Caprylic/Capric Glycerides, Cereus Grandiflorus (Cactus) Flower Extract, PEG-150 Pentaerythrityl Tetrastearate, Potassium Dimethicone PEG-7 Panthenyl Phosphate, Caprylhydroxamic Acid, Arginine, Sodium Hydroxide, C13-15 Alkane, Brassica Campestris/Aleurites Fordi Oil Copolymer, Oenocarpus Bataua Fruit Oil, PPG-3 Benzyl Ether Myristate, Lactic Acid, Ananas Sativus (Pineapple) Fruit Extract, Tocopheryl Acetate, Hydrolyzed Soy Protein.<br>

<br>
Fast Forward Conditioner: Water (Aqua), Cetearyl Alcohol, Glycerin, Butyrospermum Parkii (Shea) Butter, C13-15 Alkane, Polyquaternium-37, Aminoethylaminopropyl Dimethicone, Oenocarpus Bataua Fruit Oil, Behentrimonium Methosulfate, Cereus Grandiflorus (Cactus) Flower Extract, Butylene Glycol, Hydrolyzed Quinoa, Aloe Vera Callus Extract (Stem Cell), Hydrolyzed Soy Protein, Propylene Glycol, Dicaprylate/Dicaprate, Phenethyl Alcohol, Cetrimonium Chloride, Brassica Campestris/Aleurites Fordi Oil Copolymer, Fragrance, PPG-1 Trideceth-6, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Tocopheryl Acetate, Caprylhydroxamic Acid, Arginine, Alcohol, Aspergillus Ferment, Lactic Acid, Disodium EDTA, Alanine, Aspartic Acid, Glutamic Acid, Histidine, Isoleucine, Leucine, Lysine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Valine, Ananas Sativus (Pineapple) Fruit Extract, Stearalkonium Chloride, Dimethyl Stearamine.
",,,,,,,,,,,,,,,,,kg,,,active
summer-curl-edit-dew,Summer Curl Edit – Dew | Low to Medium Porosity Curl Ritual,"<p>Your answer to summer styling without the weight.<br>Dew is your low to medium porosity ritual—crafted for curls that resist moisture, frizz easily, and fall flat in the heat.</p>
<p>Inside this editorial curation, you'll find a humidity-proof layering system designed to hydrate without heaviness, define without crunch, and hold without buildup.</p>
<p>Each product is meticulously selected for its lightweight texture, ingredient harmony, and climate-specific performance under Middle Eastern heat. It’s curation, not guesswork.</p>
<p> </p>
<p>What's inside:</p>
<p>1 X Uncle Funky's Daughter Midnite Train Leave In (8oz)</p>
<p>1 X Kinky Curly Knot Today Leave In (8oz)</p>
<p>1 X The Doux Mousse Def Texture Foam (7oz)</p>
<p>1 X TreLuxe Hi Definition Styling Gel (8oz)</p>",Emerson,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,"","Aloe Vera, Best seller, bestseller, Bestsellers, Bundle, Bundle Set, CG Approved, CGM, CGM Approved, curl protection, Curly Hair, Frizz Free, Hair Growth & Length Retention, Low Porosity Essentials, Moisture Rich, Natural, Natural Hair, Protein Free, Styler, Sulfate - Free, Summer Curl Edit - Dew, Summer Essential",false,Title,Default Title,,,,,,,,SCE-SCED-LMP,3000.0,shopify,deny,manual,320.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/8.jpg?v=1751428670,1,"",false,,"Your low to medium porosity summer curl solution. Lightweight, frizz control, long-lasting hold—even in 45° heat. Limited release. Shop Dew while it lasts.",,,,,,,,,,,,,"Expertly paired curl rituals for hair that thrive. Each curation is handpicked and tested for performance, so you get results, not just products.
No overwhelm. Just proven formulas that work beautifully together.",Emerson,See individual product pages,See individual product pages,,'1,,,,,,,,,,,,,,,kg,,162.43,draft
summer-curl-edit-dew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/2391f7f02e06993bb4aac597cf7bd6880853ba73.jpg?v=1752047495,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer-curl-edit-quench,Summer Curl Edit – Quench | High Porosity Curl Ritual,"<p>For curls that thirst and frizz.<br>Quench is your high-porosity ritual—designed to saturate dry strands, seal in moisture and sculpt definition that survives the Gulf summer.</p><br>
<p>This is your moisture-rich curation for bounce, elasticity, and hold that doesn’t quit.</p>
<p>Engineered for performance and indulgence, this edit layers hydrating and sealing formulas that work in tandem to protect against breakage, reduce porosity stress and create long-lasting curl memory.</p><br>
<p>What's inside:</p>
<p>1x The Doux Fast Forward Conditioner (8oz)</p>
<p>1x TréLuxe Aloe Vera Curl Primer (8oz)</p>
<p>1x Uncle Funky’s Daughter Curly Magic (18oz)</p>
<p>1x Innersense I Create Hold (10oz)</p>",Emerson,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,"","Aloe Vera, Best seller, bestseller, Bestsellers, Bundle Set, CG Approved, CGM, CGM Approved, Chemically Treated Hair, Colour Safe, curl protection, Curly Hair, Frizz Free, High Porosity Essentials, Moisture Rich, Natural, Natural Hair, New Arrivals, Protein Free, Styler, Sulfate - Free, Summer Curl Edit, Summer Curl Edit – Quench, Summer Essential",false,Title,Default Title,,,,,,,,SCE-SCEQ-HPC,3000.0,shopify,continue,manual,369.00,0.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0504/5187/3989/files/8.jpg?v=1751428670,1,"",false,,"Your high porosity summer curl solution. Deep moisture, frizz control, long-lasting hold—even in 45° heat. Limited release. Shop Quench while it lasts.",,,,,,,,,,,,,"Expertly paired curl rituals for hair that thrive. Each curation is handpicked and tested for performance, so you get results, not just products.
No overwhelm. Just proven formulas that work beautifully together.",Emerson,See individual product pages,See individual product pages,,'1,,,,,,,,,,,,,,,kg,,186.80,draft
summer-curl-edit-quench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/5aee9724fbfffc7bdcbb54a0fc2d78fb8f96adb3.jpg?v=1752047491,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mummy-me-kit-low-to-medium-porosity,Mummy & Me Kit - Low to Medium Porosity,"<p>Support delicate curls with care and consistency.</p>
<p><span class=""s2"">Curated especially for little ones with low to medium porosity hair, this gentle yet effective ritual supports strands that resist moisture but retain it once it’s sealed in. Each product has been handpicked to soften strands</span><span class=""s1"">, encourage moisture penetration, reduce frizz, and deliver long lasting nourishment without heaviness or build up.</span></p>
<p>Whether you’re learning your child’s hair together or already in your groove, this set empowers you to care with confidence.<br><span class=""s2""></span></p>
<p>What’s inside:</p>
<p>1 X Camille Rose Sweet Cleansing Rinse </p>
<p>1 X Camille Rose Conditioning Custard</p>
<p>1 X Camille Rose Sundae Glaze Leave In</p>
<p>1 X Breahni Light Styling Gel</p>",Emerson,Uncategorized,"","Best seller, Bundle, Bundle Set, CG Approved, CGM Approved, Curl Definer, Curl Defining, Curl defining gel, Curl Defining Leave-in, Curl definition, Hair Styling, Kid Safe, Kinky Curl Knot Today, Kinky Curly, Kinky Curly Knot Today, Knot Today, Styler, Styling, Styling Custard, The Mummy & Me Edit",true,Title,Default Title,,,,,,,,M&M-LMP,1500.0,shopify,deny,manual,225.25,265.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/05C20F6E-68CC-48BF-96CF-5DE5A14357D4.jpg?v=1749913912,1,"",false,,,,,,,,,,,,,,,"Expertly paired curl rituals for hair that thrive. Each curation is handpicked and tested for performance, so you get results, not just products.
No overwhelm. Just proven formulas that work beautifully together.",Emerson,See individual product pages.,See individual product pages.,,,,,,,,,,,,,,,,,kg,,,active
the-doux,The Doux 808 Base Gel,"<div class=""content-block product-rte rte"">
<div class=""content-slide-content"" data-height="""">
<div id=""liquid-liquid_QY683U"" class=""content-slide-space variant_metafields"">
<p class=""whitespace-normal break-words"">Drop the base and watch your curls go boom. 808 Base Gel lays down the foundation for every curl style in your rotation – from wash-and-gos to twist-outs. This medium-hold gel brings the bass line your curls need to stay defined and frizz-free all day.</p>
</div>
</div>
</div>
<p>808 Base Gel is the beat drop your curls have been waiting for. Like its namesake bass drum that anchors every track, this gel creates the foundation that makes your whole style hit different.</p>
<p>The medium-hold formula strikes that perfect balance – strong enough to lock in your pattern but flexible enough to keep curls bouncy and touchable. While other gels leave you crunchy or flaky, 808 keeps it smooth with a formula that defines without the drama. It's built to be your first layer, creating a frizz-fighting base that other products can build on.</p>
<p>Use it solo for simple, defined curls or stack it under MOUSSE DEF for next-level volume and hold. Your wash-and-go just got more reliable, your twist-out more defined, and your TWA more popping. This is the gel that turns good curl days into great ones – because every masterpiece starts with a solid foundation.</p>
<p>Frizz trying to remix your style? Not happening.</p>
<p>Definition falling flat by midday? 808's got the stamina.</p>
<p>Your curls about to stay fresh from morning meeting to midnight.</p>",The Doux,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Styler,"Base Gel, Bouncy curls, CG Approved, CG Method, cgapproved, CGM Approved, Curl Defining, Curl definition, Curly Hair, Frizz control, Frizz Free, Gel, Medium Hold, Natural, Natural Gel, Natural Hair, Styler, Styling, Styling Gel, Sulfate - Free, The Doux, Twist out, Wash- n -go",true,Size,12 oz,,,,,,,,DUO-8BG-355,560.0,shopify,deny,manual,75.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0504/5187/3989/files/808N_eb8317d9-b065-4ba2-b06a-75c5d2d0d5f1.png?v=1755075993,1,The Doux 808 Base Gel,false,,"Discover The Doux 808 Base Gel in the UAE. A medium hold base gel for layering, flexible curl defining & Fights frizz. Perfect for all curl types & textures",1901,,,,,,,,,,,,"The Doux is an award winning brand of super-fresh, texture focused solutions inspired by the life of a stylist and love for the culture. Merging old-school flava with new-school science. The Doux developed a range of simple, multi-functional formulas designed to put an end to the complicated regimens and conflicting information that are shattering your confidence.",The Doux,"WET IT:
Start with soaking wet hair (water is your friend)<br>

APPLY IT:
Apply in sections, letting curls clump naturally.<br>

ROCK IT:
Rock it solo or layer MOUSSE DEF on top for extra hold.<br>

DIFFUSE IT:
Diffuse until 100% dry for maximum bounce.<br>

FLUFF IT:
Fluff from the roots and let them curls live.<br>

THE BASE:
808 always goes first – it's the base, remember? No oils or creams before this gel. Let it do its job as the foundation, then build your style from there.<br>
","Aloe Barbadensis Leaf Juice Powder, Water (Aqua), Cetearyl Alcohol, Behentrimonium Methosulphate, C13-15 Alkane, Cetrimonium Chloride, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Butylene Glycol, Aminoethylaminopropyl Dimethicone, Polyquaternium-37, PPG-1 Trideceth-6, Propylene Glycol Dicaprylate/Dicaprate, Stearalkonium Chloride, Aloe Vera Callus Extract (Stem Cell), Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Ananas Sativus (Pineapple) Fruit Extract, Glycerin, Phenethyl Alcohol, Fragrance, Hydrolyzed Quinoa, Cereus Grandiflorus (Cactus) Flower Extract, Hydrolyzed Soy Protein, Tocopheryl Acetate, Caprylhydroxamic Acid, Arginine, Brassica Campestris/Aleurites Fordi Oil Copolymer, Aspergillus Ferment, Disodium EDTA, Lactic Acid, Alanine , Aspartic Acid , Glutamic Acid, Histidine, Isoleucine, Leucine, Lysine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Valine",,,,,,,,,,,,the-doux-big-poppa-defining-gel; the-doux-mousse-def-texture-foam,"",only manual,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/808N_eb8317d9-b065-4ba2-b06a-75c5d2d0d5f1.png?v=1755075993,kg,,35.20,active
the-doux-bananas-xtreme-hold-hair-gel,The Doux Bananas Xtreme Hold Hair Gel,"<p><span>This hold is bananas, B-A-N-A-N-A-S! The Bananas Xtreme hold Hair Gel is the extreme styler that locks your look down tighter than Fort Knox.</span></p>
<p>BANANAS XTREME HOLD HAIR GEL said ""let's go crazy"" and meant every word. This isn't playing around with medium hold – we're talking extreme, unbreakable, your-hair-isn't-moving-till-you-say-so kind of control.</p>
<p>Whether you're sculpting glass-hair sleek edges, creating gravity-defying spikes that salute the sky, or slicking back a style so smooth it looks like liquid, BANANAS delivers that professional-strength hold.</p>
<p>The formula brings serious grip without the helmet head effect – your style stays locked but doesn't feel like concrete. Perfect for when you need your hair to stay exactly where you put it, no questions asked. From intricate designs to simple slick-backs, from defined curls to sculptural styles, this gel has the muscle to make it happen.</p>
<p>And here's where it gets bananas – when you're ready to switch it up, just add water and watch it reactivate like magic.</p>
<p>No flaking, no residue, just extreme hold that goes hard but stays flexible enough to rework. Your style game is about to go absolutely bananas.</p>",The Doux,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Styler,"CG Approved, CG Method, cgapproved, CGM, CGM Approved, Colour Safe, Curl Definer, Curl Defining, Curl definition, curls, Curly Hair, Frizz control, Frizz Free, Hair Styling, Kid Safe, Natural, Natural Hair, Styler, Styling, Styling Gel, Xtreme Hold",true,Size,12 oz,,,,,,,,DUO-BEHG-355,0.0,shopify,deny,manual,85.00,,true,true,,,,,'850031703902,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/EF045710-ED5F-4FB3-A306-699C24D37D4E.webp?v=1754305163,1,"The Doux Bananas Gel Available in Dubai, UAE | Emerson Hair & Beauty",false,,"Discover The Doux Bananas Xtreme Hold Gel: A strong hold gel that defines curls without flaking, humid resistant, controls frizz, nourishes edges & locks in style",,,,,,,,,,,,,"The Doux is an award winning brand of super-fresh, texture focused solutions inspired by the life of a stylist and love for the culture. Merging old-school flava with new-school science. The Doux developed a range of simple, multi-functional formulas designed to put an end to the complicated regimens and conflicting information that are shattering your confidence.",The Doux,"WET IT:
Drench hair thoroughly – this gel loves water. <br>

APPLY IT:
Get generous from roots to ends, no skimping. <br>

DEFINE IT:
Shingle or finger coil for curls that pop off.<br>

DRY IT:
Diffuse or sit under the dryer until 100% dry. <br>

STYLE IT:
Fluff and separate once completely dry. <br>

REACTIVATE IT:
Spritz with water to rework anytime. <br>
","Water (Aqua), PVP, Propanediol, Maltodextrin/VP Copolymer, Sorbitol, Acrylates Copolymer, Honey, Aminomethyl Propanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice, Musa Sapientum (Banana) Fruit Extract, Tocopheryl Acetate, Panthenol, Silk Amino Acids, Sodium Hyaluronate, Ascorbic Acid, Phenoxyethanol, Ethylhexylglycerin, Helianthus Annus (Sunflower) Seed Oil Lactic Acid, Fragrance (Parfum), Yellow 5 (CI 19140)",,,,,,,,,,,,the-doux-fast-forward-heat-prep-conditioner; the-doux-press-rewind-curl-rentention-shampoo,"",ahead,,,kg,,37.43,active
the-doux-bananas-xtreme-hold-hair-gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/07710C56-7379-473C-BE62-636A28D2395E.webp?v=1754305243,2,"The Doux Bananas Xtreme Hold Gel Available in Dubai, UAE | Emerson Hair & Beauty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mummy-me-kit-high-porosity,Mummy & Me Kit - High Porosity,"<p>Nurture thirsty curls with intention.</p>
<p><span class=""s2"">Curated especially for little ones with high porosity hair, this gentle yet effective ritual supports strands that absorb moisture quickly but struggle to hold onto it. Each product has been carefully chosen to </span><span class=""s1"">restore moisture balance, reduce frizz, and lock in long-lasting hydration</span><span class=""s2""> while being safe, soothing, and curl-friendly.</span></p>
<p>Whether you’re learning your child’s hair together or already in your groove, this set empowers you to care with confidence.<br><span class=""s2""></span></p>
<p>What’s inside:</p>
<p>1 X Camille Rose Sweet Cleansing Rinse </p>
<p>1 X Camille Rose Conditioning Custard</p>
<p>1 X Kinky Curly Knot Today</p>
<p>1 X Breahni Light Styling Gel</p>",Emerson,Uncategorized,"","Best seller, Bundle, Bundle Set, CG Approved, CGM Approved, Curl Definer, Curl Defining, Curl defining gel, Curl Defining Leave-in, Curl definition, Hair Styling, Kid Safe, Kinky Curl Knot Today, Kinky Curly, Kinky Curly Knot Today, Knot Today, Styler, Styling, Styling Custard, The Mummy & Me Edit",true,Title,Default Title,,,,,,,,,1500.0,shopify,deny,manual,259.25,305.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0504/5187/3989/files/05C20F6E-68CC-48BF-96CF-5DE5A14357D4.jpg?v=1749913912,1,"",false,,,,,,,,,,,,,,,"Expertly paired curl rituals for hair that thrive. Each curation is handpicked and tested for performance, so you get results, not just products.
No overwhelm. Just proven formulas that work beautifully together.",Emerson,See individual product pages.,See individual product pages.,,,,,,,,,,,,,,,,,kg,,,active
